,hdpData.homeInfo.zpid,addressStreet,hdpData.homeInfo.unit,addressCity,addressState,addressZipcode,hdpData.homeInfo.homeType,beds,baths,area,pgapt,hdpData.homeInfo.price,hdpData.homeInfo.homeStatus,hdpData.homeInfo.priceForHDP,hdpData.homeInfo.taxAssessedValue,zestimate,hdpData.homeInfo.rentZestimate,hdpData.homeInfo.daysOnZillow,hdpData.homeInfo.isPreforeclosureAuction,brokerName,latLong.latitude,latLong.longitude,hasOpenHouse,openHouseStartDate,openHouseEndDate,builderName,hdpData.homeInfo.listing_sub_type.is_newHome
26,37106618,735 Anderson Ave,,Rockville,MD,20850,SINGLE_FAMILY,4,2,2262,ForSale,664999,FOR_SALE,664999,577100.0,649800.0,3399.0,26,False,"Long & Foster Real Estate, Inc.",39.08761,-77.17038,,,,,
27,37202594,15316 Delphinium Ln,,Rockville,MD,20853,SINGLE_FAMILY,4,3,3020,ForSale,750000,FOR_SALE,750000,552100.0,752000.0,3440.0,6,False,"Long & Foster Real Estate, Inc.",39.10823,-77.09591,,,,,
28,37108970,822 New Mark Esplanade,,Rockville,MD,20850,TOWNHOUSE,3,4,1600,ForSale,599900,FOR_SALE,599900,504200.0,593500.0,3380.0,15,False,"Weichert, REALTORS",39.0739,-77.15632,,,,,
29,2058224832,16204 Connors Way,,Derwood,MD,20855,TOWNHOUSE,3,3,3159,ForSale,688000,FOR_SALE,688000,,698000.0,3750.0,71,False,Compass,39.125015,-77.167885,,,,,
30,37107454,501 New Mark Esplanade,,Rockville,MD,20850,SINGLE_FAMILY,4,3,2060,ForSale,849000,FOR_SALE,849000,663300.0,853300.0,3499.0,6,False,Redfin Corp,39.07566,-77.15826,,,,,
31,37306226,4913 McCall St,,Rockville,MD,20853,SINGLE_FAMILY,3,2,1438,ForSale,528000,FOR_SALE,528000,370000.0,523500.0,2900.0,27,False,"Weichert, REALTORS",39.07058,-77.10019,,,,,
32,37100403,800 Lincoln St,,Rockville,MD,20850,SINGLE_FAMILY,3,2,2089,ForSale,529000,FOR_SALE,529000,427100.0,533100.0,3168.0,2,False,Red Maple Realtors Inc.,39.09041,-77.13583,,,,,
33,67486098,501 Hungerford Dr APT 346,Apt 346,Rockville,MD,20850,CONDO,2,1,1085,ForSale,355000,FOR_SALE,355000,305000.0,350300.0,2199.0,35,False,RLAH @properties,39.09096,-77.15187,,,,,
34,251687528,541 Shorthorn Way,,Rockville,MD,20850,TOWNHOUSE,3,4,1791,ForSale,650000,FOR_SALE,650000,582500.0,640100.0,3343.0,27,False,Ten Thousand Realty,39.111156,-77.18363,True,2023-09-23T13:00:00,2023-09-23T15:00:00,,
35,37105497,1707 Grandin Ave,,Rockville,MD,20851,SINGLE_FAMILY,4,2,1683,ForSale,650000,FOR_SALE,650000,391800.0,632500.0,2998.0,91,False,Compass,39.07717,-77.12095,,,,,
36,37104055,604 Crocus Dr,,Rockville,MD,20850,SINGLE_FAMILY,4,2,1958,ForSale,749700,FOR_SALE,749700,649000.0,743500.0,3320.0,14,False,RE/MAX Realty Services,39.09435,-77.17297,,,,,
37,37104173,730 Grandin Ave,,Rockville,MD,20850,SINGLE_FAMILY,5,4,2396,ForSale,725000,FOR_SALE,725000,445300.0,712200.0,3405.0,13,False,"EXP Realty, LLC",39.0818,-77.13904,True,2023-09-24T13:00:00,2023-09-24T15:00:00,,
38,37109164,2412 Glenmore Ter,,Rockville,MD,20850,SINGLE_FAMILY,5,3,1995,ComingSoon,829900,FOR_SALE,829900,608500.0,783100.0,3128.0,6,False,RE/MAX REALTY SERVICES,39.09177,-77.19202,True,2023-09-24T14:00:00,2023-09-24T16:00:00,,
39,37103129,1618 Burris Rd,,Rockville,MD,20851,SINGLE_FAMILY,3,1,1158,ForSale,480000,FOR_SALE,480000,390400.0,473700.0,2850.0,27,False,"Cuzzi Realty, Inc.",39.07524,-77.12278,,,,,
40,37122256,25 Blue Hosta Way,,Rockville,MD,20850,TOWNHOUSE,3,4,2472,ForSale,735000,FOR_SALE,735000,629700.0,721100.0,3634.0,29,False,"Libra Realty, LLC",39.0816,-77.16898,,,,,
